2026-07-18 16:18:38 | INFO     | utils.data_loader | Loaded 7043 real customer records.
2026-07-18 16:18:39 | INFO     | pages.home | Home page rendered successfully.
2026-07-18 16:18:56 | INFO     | pages.home | Home page rendered successfully.
2026-07-18 16:19:07 | INFO     | pages.home | Home page rendered successfully.
2026-07-18 16:19:44 | INFO     | pages.home | Home page rendered successfully.
2026-07-18 16:20:02 | INFO     | pages.home | Home page rendered successfully.
2026-07-18 16:20:09 | INFO     | pages.eda | EDA page rendered with 7043 filtered rows (of 7043 total).
2026-07-18 16:20:13 | INFO     | pages.statistics | Statistics page rendered.
2026-07-18 16:20:44 | INFO     | pages.home | Home page rendered successfully.
2026-07-18 16:20:47 | INFO     | pages.eda | EDA page rendered with 7043 filtered rows (of 7043 total).
2026-07-18 16:20:58 | INFO     | pages.home | Home page rendered successfully.
2026-07-18 16:25:28 | INFO     | pages.home | Home page rendered successfully.
2026-07-18 16:25:36 | INFO     | pages.eda | EDA page rendered with 7043 filtered rows (of 7043 total).
2026-07-18 16:25:37 | INFO     | pages.statistics | Statistics page rendered.
2026-07-18 16:29:37 | INFO     | pages.home | Home page rendered successfully.
2026-07-18 16:29:51 | INFO     | pages.eda | EDA page rendered with 7043 filtered rows (of 7043 total).
2026-07-18 16:29:57 | INFO     | pages.home | Home page rendered successfully.
2026-07-18 16:30:03 | INFO     | pages.home | Home page rendered successfully.
2026-07-18 16:30:08 | INFO     | pages.home | Home page rendered successfully.
2026-07-18 16:30:47 | INFO     | pages.eda | EDA page rendered with 7043 filtered rows (of 7043 total).
2026-07-18 16:31:44 | INFO     | pages.statistics | Statistics page rendered.
2026-07-18 16:31:53 | INFO     | pages.sql_insights | SQL query executed successfully, 1 rows returned.
2026-07-18 16:32:18 | INFO     | pages.customer_search | Customer Search rendered with 7043 filtered results.
2026-07-18 16:32:30 | INFO     | pages.geography_search | Geography Search rendered with 15 cities (guardrail=30).
2026-07-18 16:32:33 | INFO     | pages.documentation | Documentation page rendered: project_readme.md
2026-07-18 16:32:40 | INFO     | pages.documentation | Documentation page rendered: project_report.md
2026-07-18 16:32:42 | INFO     | pages.documentation | Documentation page rendered: project_readme.md
2026-07-18 16:38:26 | INFO     | pages.documentation | Documentation page rendered: project_readme.md
2026-07-18 16:38:34 | INFO     | pages.home | Home page rendered successfully.
2026-07-18 16:38:37 | INFO     | pages.eda | EDA page rendered with 7043 filtered rows (of 7043 total).
2026-07-18 16:38:40 | INFO     | pages.home | Home page rendered successfully.
2026-07-18 16:38:46 | INFO     | pages.eda | EDA page rendered with 7043 filtered rows (of 7043 total).
2026-07-18 16:38:52 | INFO     | pages.eda | EDA page rendered with 7043 filtered rows (of 7043 total).
2026-07-18 16:38:59 | INFO     | pages.home | Home page rendered successfully.
2026-07-18 16:39:01 | INFO     | pages.eda | EDA page rendered with 7043 filtered rows (of 7043 total).
2026-07-18 16:39:05 | INFO     | pages.statistics | Statistics page rendered.
2026-07-18 16:39:15 | INFO     | pages.customer_search | Customer Search rendered with 7043 filtered results.
2026-07-18 16:39:18 | INFO     | pages.segment_search | Segment Search page rendered.
2026-07-18 16:39:20 | INFO     | pages.geography_search | Geography Search rendered with 15 cities (guardrail=30).
2026-07-18 16:39:23 | INFO     | pages.plan_contract_search | Plan & Contract Search page rendered.
2026-07-18 16:40:00 | INFO     | pages.home | Home page rendered successfully.
2026-07-18 16:40:06 | INFO     | pages.eda | EDA page rendered with 7043 filtered rows (of 7043 total).
